Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
3,2,4,13,3,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
4,2,4,19,3,HIT_MUD,false,0,3,0,1,0,,,0,0,-5
5,2,4,25,3,HIT_MUD,false,0,4,0,1,0,,,0,0,-8
6,2,4,28,3,ACCELERATING,false,0,4,0,1,0,,,0,0,-8
7,2,4,31,3,ACCELERATING,false,0,4,0,1,0,,,0,0,-8
8,2,4,34,3,ACCELERATING,false,0,4,0,1,0,,,0,0,-8
9,2,4,37,3,ACCELERATING,false,0,4,0,1,0,,,0,0,-8
10,2,4,40,0,HIT_WALL,false,0,5,0,1,0,,,0,0,-13
11,2,4,40,0,FIXED_CAR,false,0,3,0,1,0,,,0,0,-13
12,2,4,43,3,ACCELERATING,false,0,3,0,1,0,,,0,0,-13
13,2,4,49,0,HIT_MUD,false,0,5,0,2,0,,,0,0,-15
14,2,4,49,0,FIXED_CAR,false,0,3,0,2,0,,,0,0,-15
15,2,4,52,3,ACCELERATING,false,0,3,0,2,0,,,0,0,-15
16,2,4,58,6,ACCELERATING,false,0,3,0,2,0,,,0,0,-15
17,2,4,64,6,ACCELERATING,false,0,3,0,2,0,,,0,0,-15
18,2,4,70,6,ACCELERATING,false,0,3,0,2,0,,,0,0,-15
19,2,4,76,3,HIT_MUD,false,0,4,0,2,0,,,0,0,-18
20,2,4,79,3,ACCELERATING,false,0,4,1,2,0,,,0,0,-14
21,2,4,82,3,ACCELERATING,false,0,4,1,2,0,,,0,0,-14
22,2,4,85,3,ACCELERATING,false,0,4,1,2,0,,,0,0,-14
23,2,4,88,3,ACCELERATING,false,0,4,1,2,0,,,0,0,-14
24,2,4,91,3,ACCELERATING,false,0,4,2,2,0,,,0,0,-10
25,2,4,94,3,ACCELERATING,false,0,4,2,2,0,,,0,0,-10
26,2,4,97,0,HIT_WALL,false,0,5,2,2,0,,,0,0,-15
27,2,4,97,0,FIXED_CAR,false,0,3,2,2,0,,,0,0,-15
28,2,4,100,3,ACCELERATING,false,0,3,2,2,0,,,0,0,-15
29,2,4,106,6,ACCELERATING,false,0,3,3,2,0,,,0,0,-11
30,2,4,112,0,HIT_WALL,false,0,5,2,2,0,,,0,0,-15
31,2,4,112,0,FIXED_CAR,false,0,3,2,2,0,,,0,0,-15
32,2,4,115,3,HIT_MUD,false,0,4,2,2,0,,,0,0,-18
33,2,4,118,3,ACCELERATING,false,0,4,2,2,0,,,0,0,-18
34,2,4,121,3,ACCELERATING,false,0,4,2,2,0,,,0,0,-18
35,2,4,124,3,ACCELERATING,false,0,4,2,2,0,,,0,0,-18
36,2,4,127,3,ACCELERATING,false,0,4,2,2,0,,,0,0,-18
37,2,4,130,3,ACCELERATING,false,0,4,2,2,1,,,0,0,-14
38,2,4,133,3,ACCELERATING,false,0,4,2,2,1,,,0,0,-14
39,2,4,136,0,HIT_MUD,false,0,5,2,2,1,,,0,0,-17
40,2,4,136,0,FIXED_CAR,false,0,3,2,2,1,,,0,0,-17
41,2,4,139,3,ACCELERATING,false,0,3,2,2,1,,,0,0,-17
42,2,4,145,6,ACCELERATING,false,0,3,2,2,1,,,1,0,-13
43,2,4,151,6,USED_BOOST,true,5,3,1,2,1,,,1,0,-9
44,2,4,157,6,USED_BOOST,true,5,3,1,2,1,,,2,0,3
45,2,4,163,6,USED_BOOST,true,5,3,0,2,1,,,2,0,7
46,2,4,169,6,ACCELERATING,true,4,3,0,2,1,,,2,1,11
47,2,4,175,6,ACCELERATING,true,3,3,1,2,1,,,2,1,15
48,2,4,181,6,USED_BOOST,true,5,3,0,2,2,,,2,1,23
49,2,4,187,6,USED_LIZARD,true,4,3,0,2,1,,,2,1,23
50,2,4,193,6,USED_LIZARD,true,3,3,0,2,0,,,2,1,23
51,2,4,199,6,ACCELERATING,true,2,3,0,2,0,,,2,1,23
52,2,4,205,3,HIT_MUD,false,0,4,0,2,0,,,2,1,20
53,2,4,208,3,ACCELERATING,false,0,4,0,2,0,,,2,1,20
54,2,4,211,0,HIT_WALL,false,0,5,0,2,0,,,2,1,12
55,2,4,211,0,FIXED_CAR,false,0,3,0,2,0,,,2,1,12
56,2,4,214,3,ACCELERATING,false,0,3,0,2,0,,,2,1,12
57,2,4,220,6,ACCELERATING,false,0,3,1,2,0,,,2,1,16
58,2,4,226,6,USED_BOOST,true,5,3,0,2,0,,,2,1,20
59,2,4,232,6,ACCELERATING,true,4,3,0,2,0,,,2,1,20
60,2,4,238,3,HIT_MUD,false,0,4,1,2,0,,,2,1,21
61,2,4,241,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
62,2,4,244,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
63,2,4,247,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
64,2,4,250,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
65,2,4,253,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
66,2,4,256,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
67,2,4,259,3,ACCELERATING,false,0,4,1,2,0,,,2,1,21
68,2,4,262,3,ACCELERATING,false,0,4,1,3,0,,,2,1,25
69,2,4,265,3,ACCELERATING,false,0,4,1,3,0,,,2,1,25
70,2,4,268,0,HIT_MUD,false,0,5,1,3,0,,,2,1,22
71,2,4,268,0,FIXED_CAR,false,0,3,1,3,0,,,2,1,22
72,2,4,271,3,HIT_MUD,false,0,4,1,3,0,,,2,1,19
73,2,4,274,3,ACCELERATING,false,0,4,2,3,0,,,2,1,23
74,2,4,277,3,ACCELERATING,false,0,4,2,3,0,,,2,1,23
75,2,4,280,3,ACCELERATING,false,0,4,2,3,0,,,2,1,23
76,2,4,283,3,ACCELERATING,false,0,4,2,4,0,,,2,1,27
77,2,4,286,3,ACCELERATING,false,0,4,2,4,0,,,2,1,27
78,2,4,289,0,HIT_MUD,false,0,5,2,4,0,,,2,1,21
79,2,4,289,0,FIXED_CAR,false,0,3,2,4,0,,,2,1,21
80,2,4,292,3,HIT_MUD,false,0,4,2,4,0,,,2,1,18
81,2,4,295,3,ACCELERATING,false,0,4,2,4,0,,,2,1,18
82,2,4,298,3,ACCELERATING,false,0,4,2,4,0,,,2,1,18
83,2,4,301,0,HIT_MUD,false,0,5,2,4,0,,,2,1,15
84,2,4,301,0,FIXED_CAR,false,0,3,2,4,0,,,2,1,15
85,2,4,304,3,ACCELERATING,false,0,3,2,4,0,,,2,1,15
86,2,4,310,6,ACCELERATING,false,0,3,2,4,0,,,2,1,15
87,2,4,316,3,HIT_MUD,false,0,4,1,4,0,,,2,1,16
88,2,4,319,3,ACCELERATING,false,0,4,1,4,0,,,2,1,16
89,2,4,322,3,ACCELERATING,false,0,4,1,4,0,,,2,1,16
90,2,4,325,3,ACCELERATING,false,0,4,1,4,0,,,2,1,16
91,2,4,328,3,ACCELERATING,false,0,4,1,4,0,,,2,1,16
92,2,4,331,3,ACCELERATING,false,0,4,1,4,0,,,2,1,16
93,2,4,334,3,ACCELERATING,false,0,4,1,4,0,,,2,1,16
94,2,4,337,0,HIT_MUD,false,0,5,1,4,0,,,2,1,13
95,2,4,337,0,FIXED_CAR,false,0,3,1,4,0,,,2,1,13
96,2,4,340,3,HIT_MUD,false,0,4,1,4,0,,,2,1,10
97,2,4,343,3,ACCELERATING,false,0,4,1,4,0,,,2,1,10
98,2,4,346,0,HIT_MUD,false,0,5,1,4,0,,,2,1,7
99,2,4,346,0,FIXED_CAR,false,0,3,1,4,0,,,2,1,7
100,2,4,349,3,ACCELERATING,false,0,3,1,4,0,,,2,1,7
