Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,1,0,,,0,0,4
4,1,1,24,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
5,1,1,33,8,HIT_MUD,false,0,1,0,0,0,,,0,1,9
6,1,1,42,8,HIT_MUD,false,0,2,0,0,1,,,0,1,10
7,1,1,50,8,USED_LIZARD,false,0,2,0,0,0,,,0,1,10
8,1,1,58,3,HIT_MUD,false,0,4,0,0,0,,,0,1,4
9,1,1,61,3,ACCELERATING,false,0,4,0,0,0,,,0,1,4
10,1,1,64,3,ACCELERATING,false,0,4,0,0,0,,,0,1,4
11,1,1,67,3,ACCELERATING,false,0,4,0,0,0,,,1,1,8
12,1,1,70,3,ACCELERATING,false,0,4,0,0,0,,,1,1,8
13,1,1,73,3,ACCELERATING,false,0,4,0,0,1,,,1,1,12
14,1,1,76,3,ACCELERATING,false,0,4,0,0,1,,,1,1,12
15,1,1,79,3,ACCELERATING,false,0,4,0,0,1,,,1,1,12
16,1,1,82,3,ACCELERATING,false,0,4,0,0,1,,,1,1,12
17,1,1,85,3,ACCELERATING,false,0,4,0,0,1,,,1,1,12
18,1,1,88,3,ACCELERATING,false,0,4,0,0,1,,,1,1,12
19,1,1,91,0,HIT_WALL,false,0,5,0,0,1,,,1,1,7
20,1,1,91,0,FIXED_CAR,false,0,3,0,0,1,,,1,1,7
21,1,1,94,3,ACCELERATING,false,0,3,0,0,1,,,1,1,7
22,1,1,100,0,HIT_WALL,false,0,5,1,0,1,,,1,1,3
23,1,1,100,0,FIXED_CAR,false,0,3,1,0,1,,,1,1,3
24,1,1,103,3,ACCELERATING,false,0,3,1,0,1,,,1,1,3
25,1,1,109,6,ACCELERATING,false,0,3,1,0,1,,,1,1,3
26,1,1,115,6,USED_LIZARD,false,0,3,1,0,0,,,1,1,3
27,1,1,121,6,USED_BOOST,true,5,3,0,0,0,,,1,1,7
28,1,1,127,6,ACCELERATING,true,4,3,0,0,0,,,1,1,7
29,1,1,133,3,HIT_MUD,false,0,4,0,0,0,,,1,1,4
30,1,1,136,3,ACCELERATING,false,0,4,0,0,0,,,1,1,4
31,1,1,139,3,ACCELERATING,false,0,4,0,0,0,,,1,1,4
