Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,2,4,24,3,HIT_WALL,false,0,3,0,0,0,,,0,0,-8
5,2,4,30,6,ACCELERATING,false,0,3,0,0,0,,,0,0,-8
6,2,4,36,3,HIT_MUD,false,0,4,0,0,0,,,0,0,-11
7,2,4,39,3,ACCELERATING,false,0,4,0,0,0,,,0,0,-11
8,2,4,42,3,ACCELERATING,false,0,4,0,0,0,,,1,0,-7
9,2,4,45,0,HIT_MUD,false,0,5,0,0,0,,,1,0,-10
10,2,4,45,0,FIXED_CAR,false,0,3,0,0,0,,,1,0,-10
11,2,4,48,3,ACCELERATING,false,0,3,0,0,0,,,1,0,-10
12,2,4,54,6,ACCELERATING,false,0,3,0,0,0,,,1,0,-10
13,2,4,60,6,ACCELERATING,false,0,3,1,1,0,,,1,0,-2
14,2,4,66,0,HIT_MUD,false,0,5,0,1,0,,,1,0,-4
15,2,4,66,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-4
16,2,4,69,3,ACCELERATING,false,0,3,0,1,0,,,1,0,-4
17,2,4,75,6,ACCELERATING,false,0,3,0,1,0,,,1,0,-4
18,2,4,81,0,HIT_MUD,false,0,5,0,1,0,,,1,0,-10
19,2,4,81,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-10
20,2,4,84,3,HIT_MUD,false,0,4,0,1,0,,,1,0,-13
21,2,4,87,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-13
22,2,4,90,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-13
23,2,4,93,0,HIT_MUD,false,0,5,0,1,0,,,1,0,-16
24,2,4,93,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-16
25,2,4,96,3,HIT_MUD,false,0,4,0,1,0,,,1,0,-19
26,2,4,99,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-19
27,2,4,102,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-19
28,2,4,105,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-19
29,2,4,108,0,HIT_WALL,false,0,5,0,1,0,,,1,0,-24
30,2,4,108,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-24
31,2,4,111,3,HIT_MUD,false,0,4,0,1,0,,,1,0,-27
32,2,4,114,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-27
33,2,4,117,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-27
34,2,4,120,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-27
35,2,4,123,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-27
36,2,4,126,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-27
37,2,4,129,3,ACCELERATING,false,0,4,0,1,0,,,1,0,-27
38,2,4,132,0,HIT_MUD,false,0,5,0,1,0,,,1,0,-30
39,2,4,132,0,FIXED_CAR,false,0,3,0,1,0,,,1,0,-30
40,2,4,135,3,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
41,2,4,141,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
42,2,4,147,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
43,2,4,153,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
44,2,4,159,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
45,2,4,165,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
46,2,4,171,6,ACCELERATING,false,0,3,0,1,0,,,2,0,-26
47,2,4,177,3,HIT_MUD,false,0,4,0,1,0,,,2,0,-29
48,2,4,180,3,ACCELERATING,false,0,4,0,1,0,,,2,0,-29
49,2,4,183,3,ACCELERATING,false,0,4,0,1,0,,,2,0,-29
50,2,4,186,3,ACCELERATING,false,0,4,0,1,0,,,2,0,-29
51,2,4,189,0,HIT_MUD,false,0,5,0,1,0,,,2,0,-32
52,2,4,189,0,FIXED_CAR,false,0,3,0,1,0,,,2,0,-32
53,2,4,192,0,HIT_WALL,false,0,5,0,1,0,,,2,0,-37
54,2,4,192,0,FIXED_CAR,false,0,3,0,1,0,,,2,0,-37
55,2,4,195,3,ACCELERATING,false,0,3,0,1,0,,,2,0,-37
56,2,4,201,0,HIT_MUD,false,0,5,1,1,0,,,2,0,-42
57,2,4,201,0,FIXED_CAR,false,0,3,1,1,0,,,2,0,-42
58,2,4,204,3,ACCELERATING,false,0,3,1,1,0,,,2,0,-42
59,2,4,210,0,HIT_MUD,false,0,5,1,1,0,,,2,0,-51
60,2,4,210,0,FIXED_CAR,false,0,3,1,1,0,,,2,0,-51
61,2,4,213,3,ACCELERATING,false,0,3,1,1,0,,,2,0,-51
62,2,4,219,6,ACCELERATING,false,0,3,1,1,0,,,2,0,-51
63,2,4,225,3,HIT_MUD,false,0,4,0,1,0,,,2,0,-50
64,2,4,228,3,ACCELERATING,false,0,4,0,1,0,,,2,0,-50
65,2,4,231,3,ACCELERATING,false,0,4,0,1,0,,,2,0,-50
66,2,4,234,3,ACCELERATING,false,0,4,0,1,0,,,2,0,-50
67,2,4,237,0,HIT_WALL,false,0,5,0,1,0,,,2,0,-55
68,2,4,237,0,FIXED_CAR,false,0,3,0,1,0,,,2,0,-55
69,2,4,240,3,ACCELERATING,false,0,3,0,1,0,,,2,0,-55
70,2,4,246,3,HIT_MUD,false,0,4,0,1,0,,,2,1,-54
71,2,4,249,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-54
72,2,4,252,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-54
73,2,4,255,3,ACCELERATING,false,0,4,0,1,0,,,2,1,-54
74,2,4,258,0,HIT_MUD,false,0,5,0,1,1,,,2,1,-53
75,2,4,258,0,FIXED_CAR,false,0,3,0,1,1,,,2,1,-53
76,2,4,261,3,ACCELERATING,false,0,3,1,1,1,,,2,1,-49
77,2,4,267,0,HIT_MUD,false,0,5,2,1,1,,,2,1,-51
78,2,4,267,0,FIXED_CAR,false,0,3,2,1,1,,,2,1,-51
79,2,4,270,3,ACCELERATING,false,0,3,2,1,1,,,2,1,-51
80,2,4,276,6,ACCELERATING,false,0,3,2,1,1,,,2,1,-51
81,2,4,282,6,USED_BOOST,true,5,3,1,1,1,,,2,2,-43
82,2,4,288,6,USED_LIZARD,true,4,3,1,1,0,,,2,2,-43
83,2,4,294,3,HIT_MUD,false,0,4,0,1,0,,,2,2,-42
84,2,4,297,3,ACCELERATING,false,0,4,0,1,1,,,2,2,-38
85,2,4,300,3,ACCELERATING,false,0,4,0,1,1,,,2,2,-38
86,2,4,303,3,ACCELERATING,false,0,4,0,1,1,,,2,2,-38
87,2,4,306,3,ACCELERATING,false,0,4,0,1,1,,,2,2,-38
88,2,4,309,0,HIT_MUD,false,0,5,0,1,1,,,2,2,-44
89,2,4,309,0,FIXED_CAR,false,0,3,0,1,1,,,2,2,-44
90,2,4,312,3,HIT_MUD,false,0,4,0,1,1,,,2,2,-47
91,2,4,315,3,ACCELERATING,false,0,4,0,1,1,,,2,2,-47
92,2,4,318,0,HIT_MUD,false,0,5,0,1,1,,,2,2,-50
93,2,4,318,0,FIXED_CAR,false,0,3,0,1,1,,,2,2,-50
94,2,4,321,3,ACCELERATING,false,0,3,0,1,1,,,3,2,-46
95,2,4,327,6,ACCELERATING,false,0,3,0,1,1,,,3,2,-46
96,2,4,333,6,USED_LIZARD,false,0,3,0,1,0,,,3,2,-46
97,2,4,339,3,HIT_MUD,false,0,4,0,1,1,,,3,2,-45
98,2,4,342,0,HIT_WALL,false,0,5,0,1,1,,,3,2,-50
99,2,4,342,0,FIXED_CAR,false,0,3,0,1,1,,,3,2,-50
100,2,4,345,3,ACCELERATING,false,0,3,0,1,1,,,3,2,-50
