Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,2,12,6,TURNING_RIGHT,false,0,0,0,0,0,,,0,0,0
4,1,2,20,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
5,1,2,29,9,ACCELERATING,false,0,0,0,0,2,,,0,0,8
6,1,2,38,9,ACCELERATING,false,0,0,0,0,2,,,0,0,8
7,1,2,47,9,USED_LIZARD,false,0,0,0,0,1,,,0,0,8
8,1,2,56,9,ACCELERATING,false,0,0,0,0,1,,,0,0,8
9,1,2,65,9,ACCELERATING,false,0,0,0,1,1,,,0,0,12
10,1,2,74,9,USED_LIZARD,false,0,0,0,1,0,,,0,0,12
11,1,1,82,9,TURNING_LEFT,false,0,0,1,1,0,,,0,1,20
12,1,1,97,15,USED_BOOST,true,5,0,0,1,0,,,0,1,24
13,1,1,112,9,HIT_MUD,false,0,1,1,1,0,,,0,1,25
14,1,1,121,8,HIT_OIL,false,0,2,0,2,0,,,0,1,29
15,1,1,129,8,USED_EMP,false,0,2,0,2,0,,,0,0,33
16,1,1,137,8,ACCELERATING,false,0,2,0,2,0,,,0,0,33
17,1,1,145,8,ACCELERATING,false,0,2,0,2,0,,,0,0,33
18,1,1,153,8,ACCELERATING,false,0,2,0,2,0,,,0,0,33
19,1,1,161,8,ACCELERATING,false,0,2,0,2,1,,,0,0,37
20,1,1,169,8,ACCELERATING,false,0,2,0,2,1,,,0,0,37
21,1,1,177,6,HIT_MUD,false,0,3,0,2,0,,,0,0,34
22,1,2,182,6,TURNING_RIGHT,false,0,3,0,2,0,,,0,0,34
23,1,2,188,6,ACCELERATING,false,0,3,0,2,1,,,0,0,38
24,1,2,194,6,ACCELERATING,false,0,3,0,2,1,,,0,0,38
25,1,2,200,6,ACCELERATING,false,0,3,0,2,1,,,0,0,38
26,1,2,206,6,ACCELERATING,false,0,3,0,2,1,,,0,0,38
27,1,2,212,3,HIT_MUD,false,0,4,0,2,0,,,0,0,35
28,1,2,215,3,ACCELERATING,false,0,4,0,2,0,,,0,0,35
29,1,2,218,3,ACCELERATING,false,0,4,0,2,0,,,0,0,35
30,1,2,221,3,ACCELERATING,false,0,4,0,2,0,,,0,0,35
31,1,2,224,3,ACCELERATING,false,0,4,0,2,0,,,0,0,35
32,1,2,226,0,HIT_CYBER_TRUCK,false,0,5,0,2,0,,,0,0,28
33,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
34,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
35,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
36,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
37,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
38,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
39,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
40,1,2,226,0,ACCELERATING,false,0,5,0,2,0,,,0,0,28
