Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,3,12,6,TURNING_LEFT,false,0,0,1,0,0,,,0,0,4
4,2,3,27,15,USED_BOOST,true,5,0,0,0,1,,,0,0,12
5,2,3,42,15,NOTHING,true,4,0,1,1,1,,,1,0,24
6,2,2,56,15,TURNING_LEFT,true,3,0,1,1,1,,,1,0,24
7,2,2,71,15,USED_TWEET,true,2,0,1,1,1,2,45,0,1,32
8,2,3,85,15,TURNING_RIGHT,true,1,0,1,1,1,2,45,0,1,32
9,2,3,100,15,USED_BOOST,true,5,0,0,1,1,2,45,0,1,36
10,2,2,114,15,TURNING_LEFT,true,4,0,0,1,1,2,45,0,1,36
11,2,2,129,15,USED_OIL,true,3,0,0,0,3,2,45,0,1,48
12,2,1,143,15,TURNING_LEFT,true,2,0,0,0,3,2,45,0,1,48
13,2,1,158,15,NOTHING,true,1,0,0,0,3,2,45,0,1,48
14,2,2,166,9,TURNING_RIGHT,false,0,0,0,0,3,2,45,1,1,52
15,2,3,174,9,TURNING_RIGHT,false,0,0,0,0,3,2,45,1,1,52
16,2,2,182,9,TURNING_LEFT,false,0,0,0,0,5,2,45,1,1,60
17,2,1,190,9,TURNING_LEFT,false,0,0,0,0,5,2,45,1,1,60
18,2,1,199,9,USED_TWEET,false,0,0,1,0,5,2,50,0,1,68
19,2,2,207,9,TURNING_RIGHT,false,0,0,1,0,5,2,50,0,1,68
20,2,3,215,9,TURNING_RIGHT,false,0,0,2,0,6,2,50,0,1,76
21,2,3,224,9,USED_LIZARD,false,0,0,2,0,5,2,50,0,1,76
22,2,3,239,15,USED_BOOST,true,5,0,1,0,5,2,50,0,1,80
23,2,3,254,15,NOTHING,true,4,0,2,0,5,2,50,0,1,84
24,2,3,269,15,NOTHING,true,3,0,2,0,6,2,50,0,2,92
25,2,2,283,15,TURNING_LEFT,true,2,0,2,0,7,2,50,0,3,100
26,2,3,297,15,TURNING_RIGHT,true,1,0,2,1,7,2,50,0,4,108
27,2,3,312,15,USED_BOOST,true,5,0,1,1,7,2,50,0,5,116
28,2,2,326,15,TURNING_LEFT,true,4,0,1,1,7,2,50,0,5,116
29,2,3,340,15,TURNING_RIGHT,true,3,0,1,1,7,2,50,0,6,120
30,2,4,354,15,TURNING_RIGHT,true,2,0,2,1,8,2,50,0,6,128
31,2,4,369,15,USED_OIL,true,1,0,2,1,8,2,50,1,7,144
32,2,4,384,15,USED_BOOST,true,5,0,2,1,8,2,50,1,7,152
33,2,4,399,15,USED_TWEET,true,4,0,2,1,10,3,50,0,7,164
34,2,3,413,15,TURNING_LEFT,true,3,0,2,1,11,3,50,0,7,168
35,2,3,428,15,USED_OIL,true,2,0,2,0,11,3,50,0,7,172
36,2,3,443,15,NOTHING,true,1,0,2,1,11,3,50,0,7,176
37,2,3,458,15,USED_BOOST,true,5,0,1,1,11,3,50,0,7,180
38,2,4,472,15,TURNING_RIGHT,true,4,0,1,2,11,3,50,0,7,184
39,2,4,487,15,USED_OIL,true,3,0,1,2,12,3,50,0,7,196
